company_symbol,Date,Open,High,Low,Close,Volume
HD,2022-09-15,277.89,278.01,270.54,271.54,3896100
HD,2022-09-16,269.05,276.56,268.9,275.97,9535100
HD,2022-09-19,273.58,281.23,273.51,280.42,3047200
HD,2022-09-20,276.88,278.78,271.37,274.17,2940700
HD,2022-09-21,276.0,280.13,271.51,271.57,3173500
HD,2022-09-22,271.22,271.22,267.85,269.14,3515800
HD,2022-09-23,267.89,271.3,266.32,270.94,3527900
HD,2022-09-26,271.43,273.56,265.61,266.58,4181800
HD,2022-09-27,269.36,273.69,266.98,268.69,3701000
HD,2022-09-28,275.22,283.5,272.71,282.19,5816600
HD,2022-09-29,278.51,278.76,274.73,278.33,4518600
HD,2022-09-30,277.82,281.79,274.76,275.94,4789100
HD,2022-10-03,281.0,286.06,279.55,283.7,3580000
HD,2022-10-04,287.5,291.31,286.56,289.56,3641300
HD,2022-10-05,286.25,292.11,285.37,289.85,2728000
HD,2022-10-06,289.56,292.97,287.77,290.39,2641500
HD,2022-10-07,287.53,288.63,282.42,284.32,2406000
HD,2022-10-10,283.56,284.86,280.22,282.46,2115400
HD,2022-10-11,281.1,286.2,280.9,282.89,2771900
HD,2022-10-12,284.42,284.64,280.49,280.52,2258200
HD,2022-10-13,274.66,284.83,268.73,282.83,3881600
HD,2022-10-14,286.64,286.64,275.95,276.43,2783100
HD,2022-10-17,279.6,283.87,279.34,281.26,3426700
HD,2022-10-18,287.95,289.86,283.23,285.06,3166500
HD,2022-10-19,282.47,282.77,273.02,275.49,4323000
HD,2022-10-20,274.94,278.0,267.87,269.46,3959500
HD,2022-10-21,268.34,275.71,268.0,275.53,3429100
HD,2022-10-24,276.97,284.47,276.97,283.26,2937100
HD,2022-10-25,285.51,292.13,285.51,290.26,2791600
HD,2022-10-26,290.6,291.87,286.17,290.15,2615000
HD,2022-10-27,291.85,294.27,289.45,291.06,3041500
HD,2022-10-28,290.0,299.16,290.0,298.65,3243100
HD,2022-10-31,294.41,299.28,292.55,296.13,4210900
HD,2022-11-01,300.37,302.21,293.35,296.06,3309100
HD,2022-11-02,295.2,300.17,288.52,288.73,4426400
HD,2022-11-03,283.57,285.95,280.51,281.5,4823900
HD,2022-11-04,285.89,288.84,277.5,284.03,4401600
HD,2022-11-07,286.5,291.7,282.84,290.27,3260200
HD,2022-11-08,292.43,293.34,287.63,291.14,3371800
HD,2022-11-09,289.0,292.5,286.26,286.75,3071400
HD,2022-11-10,297.74,314.74,297.08,311.7,7794000
HD,2022-11-11,312.0,317.68,310.24,314.94,4945400
HD,2022-11-14,314.36,315.98,306.34,306.92,6394800
HD,2022-11-15,304.06,316.63,303.25,311.93,9290400
HD,2022-11-16,305.86,316.41,304.51,314.91,5249500
HD,2022-11-17,312.0,313.68,306.15,311.44,3642100
HD,2022-11-18,314.14,316.0,310.26,313.18,3559300
HD,2022-11-21,316.96,318.84,314.2,316.78,4069000
HD,2022-11-22,320.0,326.82,319.38,324.88,6054700
HD,2022-11-23,326.76,327.82,320.44,321.51,4243400
HD,2022-11-25,322.89,329.08,321.9,326.38,3393500
HD,2022-11-28,325.06,328.8,317.85,318.92,4733700
HD,2022-11-29,316.0,320.0,315.62,315.96,3505600
HD,2022-11-30,312.93,324.19,311.5,323.99,15106500
HD,2022-12-01,326.31,329.67,324.44,327.07,3830100
HD,2022-12-02,321.08,328.48,320.33,327.99,3644100
HD,2022-12-05,325.15,325.52,319.54,320.08,5057300
HD,2022-12-06,319.64,321.65,314.54,317.45,3341500
HD,2022-12-07,315.96,322.88,314.44,320.15,4038200
HD,2022-12-08,318.55,324.52,318.55,324.09,3483600
HD,2022-12-09,321.48,324.44,319.93,320.48,3738800
HD,2022-12-12,323.0,328.34,321.29,327.98,4900200
HD,2022-12-13,344.35,347.25,329.96,332.89,5787700
HD,2022-12-14,330.53,339.06,329.01,333.43,4546000
HD,2022-12-15,329.44,330.02,323.37,327.6,5056900
HD,2022-12-16,323.43,327.94,319.24,323.34,9615000
HD,2022-12-19,319.5,321.91,316.02,317.33,3000600
HD,2022-12-20,313.32,316.89,310.83,314.84,2632200
HD,2022-12-21,318.05,319.59,314.74,319.36,2610400
HD,2022-12-22,316.4,316.4,310.73,316.12,3064400
